milan:/ # cat /proc/partitions
major minor  #blocks  name
/dev/block/dm-18          26332    26304        28 100% /apex/com.android.media.swcodec@341711000
/dev/block/loop20          2072     2044        28  99% /apex/com.android.appsearch@300000000
/dev/block/dm-19            232      104       128  45% /apex/com.android.scheduling@341510000
/dev/block/loop21           232       88       144  38% /apex/com.android.apex.cts.shim@1
/dev/block/dm-20            784      756        28  97% /apex/com.android.tzdata@314012010
/dev/block/dm-21           5892     5864        28 100% /apex/com.android.conscrypt@341810060
/dev/block/loop24         40624    40596        28 100% /apex/com.android.vndk.v31@1
/dev/block/dm-22            720      692        28  97% /apex/com.android.sdkext@341710000
/dev/block/dm-23            776      748        28  97% /apex/com.android.ipsec@341611000
/dev/block/dm-24          18820    18788        32 100% /apex/com.android.permission@341810000
/dev/block/dm-25          23996    23968        28 100% /apex/com.android.extservices@341816020
/dev/block/dm-26          51652    51608        44 100% /apex/com.android.art@341810020
/dev/block/dm-27          11064    11036        28 100% /apex/com.android.mediaprovider@341812060
/dev/block/dm-28           5760     5732        28 100% /apex/com.android.wifi@319999900
worker                  2928796        0   2928796   0% /product/media
/data/media           107838432 12665764  95172668  12% /mnt/runtime/default/emulated
/dev/fuse             107838432 12665764  95172668  12% /mnt/installer/0/emulated
